variable	coef_time	fval	delta	pval	qval	logp
PROTEIN_SECRETION	0.0714417418024357	9.02026291796396	0.0595512132994101	0.00284291136768567	0.0061802421036645	2.54623667992442
INTERFERON_ALPHA_RESPONSE	0.0854370511670582	4.66255865138222	0.0574163218699288	0.0314907345698723	0.0477132341967763	1.50181720865779
INTERFERON_GAMMA_RESPONSE	0.0865169402955221	6.72056673365748	0.0507204804823314	0.00991934027230563	0.0183691486524178	2.00351721147737
APICAL_JUNCTION	0.0266425968002421	2.0221114611139	-0.00552635678864855	0.155881126850995	0.190098935184141	0.807206463391278
APICAL_SURFACE	0.0252706486737098	2.51780298005042	0.00211112479139195	0.113451157675122	0.143985573539801	0.94519106814086
HEDGEHOG_SIGNALING	-0.00732212296929006	0.113635127428346	-0.0314365684665443	0.736318282384587	0.747070750477025	-0.132934416092402
COMPLEMENT	0.0646941015190162	8.8043537879327	0.08761671246989	0.00319526698713037	0.00665680622318827	2.4954928476173
UNFOLDED_PROTEIN_RESPONSE	0.088571333631076	16.7043941680109	0.0725784008667649	5.37811647288409e-05	0.00014939212424678	4.26936979657476
PI3K_AKT_MTOR_SIGNALING	0.0833669442559031	24.4297026438147	0.0688846278023213	1.17047949556814e-06	4.87699789820059e-06	5.93163618986108
MTORC1_SIGNALING	0.170276359451105	42.6612415260315	0.187634350879126	2.12010098513288e-10	2.12010098513288e-09	9.67364345216491
E2F_TARGETS	0.172788154306248	20.5188733789879	0.157032041526245	7.90303392337739e-06	3.03962843206823e-05	5.10220615386946
MYC_TARGETS_V1	0.150629549341362	20.0185201241228	0.130345745687732	1.01008181576011e-05	3.36693938586704e-05	4.99564344731233
MYC_TARGETS_V2	0.145222341429887	18.5571149769669	0.121563520693308	2.13148223852034e-05	6.66088199537608e-05	4.67131828194471
EPITHELIAL_MESENCHYMAL_TRANSITION	0.0106052047772325	0.104165122064848	-0.0580244997633636	0.747070750477025	0.747070750477025	0.126638266877028
INFLAMMATORY_RESPONSE	0.060520397249235	5.25290431842367	0.0306620344899762	0.0224708511652839	0.0374514186088065	1.64838047678493
XENOBIOTIC_METABOLISM	0.112485439692691	35.4674143930132	0.257351034781591	5.96666708227161e-09	3.72916692641976e-08	8.22426819348922
FATTY_ACID_METABOLISM	0.128846135756523	34.3565815491362	0.227018052190874	1.00093496542778e-08	5.56074980793211e-08	7.99959413937722
OXIDATIVE_PHOSPHORYLATION	0.189374977840438	48.4766833360539	0.257461278296942	1.62880935791991e-11	2.71468226319985e-10	10.788129744205
GLYCOLYSIS	0.12550788302497	49.3746998019966	0.163209055087439	1.10627310855433e-11	2.71468226319985e-10	10.9561376443729
REACTIVE_OXYGEN_SPECIES_PATHWAY	0.13728382040638	33.8605854172886	0.175369112868126	1.3534070596364e-08	6.76703529818202e-08	7.86857156248153
P53_PATHWAY	0.0800554837851813	26.2085375745043	0.0698313358477173	5.15040538823388e-07	2.34109335828813e-06	6.28815858630948
UV_RESPONSE_UP	0.126538912088626	55.0038249377843	0.14370177980771	9.81051591185749e-13	4.90525795592875e-11	12.0083081534986
UV_RESPONSE_DN	-0.0535262440888698	7.94903010312368	-0.0895647551077091	0.00507598361224509	0.00976150694662518	-2.29447978868983
ANGIOGENESIS	0.0354978209414571	1.63081794562537	0.00117981747709228	0.202360981546007	0.240905930411913	0.693873222725713
HEME_METABOLISM	0.0176885435514309	1.31325000139575	0.0534156647469259	0.252678645855349	0.287134824835624	0.597431459223948
COAGULATION	0.0785652074745657	13.8266265145223	0.170850001707033	0.000232453347725469	0.000581133369313674	3.63366419485311
IL2_STAT5_SIGNALING	0.0407425299244631	4.72488723077104	0.0149674059215959	0.0303429200871231	0.0474108126361298	1.51794262669036
BILE_ACID_METABOLISM	0.0550570846731699	8.13301671199612	0.189135937719663	0.00457888702349785	0.0091577740469957	2.33924007184176
PEROXISOME	0.103437540490416	36.1936582705726	0.197736273198071	4.26887120161114e-09	3.04919371543653e-08	8.36968694832873
ALLOGRAFT_REJECTION	0.0590285653280824	3.87294653236566	0.0158579515464474	0.0497743599403797	0.0711062284862567	1.30299431595446
SPERMATOGENESIS	0.0454231708481926	9.9926318659421	0.0399704858219369	0.00171119090583187	0.00407426406150444	2.7667015364996
KRAS_SIGNALING_UP	0.0210518274327025	1.15902337738023	0.0172674328715329	0.282372164230967	0.313746849145518	0.549178117523647
KRAS_SIGNALING_DN	0.01987009206404	2.49184609013578	0.0324734877086566	0.115188458831841	0.143985573539801	0.938591032342812
PANCREAS_BETA_CELLS	0.0338628970960466	2.78587234343617	0.0936295120590407	0.0959248769580322	0.126216943365832	1.01806874919487
